UNIX_Time,UTC_Date,UTC_Time,Latitude,North-South,Longitude,East-West
1645151916.4303,180222,023832.80,3530.96344530,N,13932.71249339,E
1645151916.5312998,180222,023832.90,3530.96344183,N,13932.71249393,E
1645151916.6320076,180222,023833.00,3530.96344183,N,13932.71249393,E
1645151916.7329907,180222,023833.10,3530.96344183,N,13932.71249393,E
1645151916.8330722,180222,023833.20,3530.96344150,N,13932.71249311,E
1645151916.9340718,180222,023833.30,3530.96344009,N,13932.71249296,E
1645151917.0348997,180222,023833.40,3530.96344009,N,13932.71249296,E
1645151917.1344552,180222,023833.50,3530.96343821,N,13932.71249109,E
1645151917.2264378,180222,023833.60,3530.96343821,N,13932.71249109,E
1645151917.3264654,180222,023833.70,3530.96344059,N,13932.71248693,E
1645151917.4274383,180222,023833.80,3530.96344059,N,13932.71248693,E
1645151917.528048,180222,023833.90,3530.96344493,N,13932.71248042,E
1645151917.6297078,180222,023834.00,3530.96344493,N,13932.71248042,E
1645151917.7308147,180222,023834.10,3530.96344493,N,13932.71248042,E
1645151917.8310103,180222,023834.20,3530.96344820,N,13932.71247414,E
1645151917.9320116,180222,023834.30,3530.96345233,N,13932.71246837,E
1645151918.0330102,180222,023834.40,3530.96345233,N,13932.71246837,E
1645151918.1330101,180222,023834.50,3530.96345701,N,13932.71246282,E
1645151918.2341795,180222,023834.60,3530.96345701,N,13932.71246282,E
1645151918.3341796,180222,023834.70,3530.96346056,N,13932.71245803,E
1645151918.4261813,180222,023834.80,3530.96346056,N,13932.71245803,E
1645151918.5271795,180222,023834.90,3530.96346188,N,13932.71245605,E
1645151918.6271796,180222,023835.00,3530.96346188,N,13932.71245605,E
1645151918.7283075,180222,023835.10,3530.96346188,N,13932.71245605,E
1645151918.8282807,180222,023835.20,3530.96346994,N,13932.71244880,E
1645151918.9299352,180222,023835.30,3530.96347392,N,13932.71244358,E
1645151919.0298948,180222,023835.40,3530.96347392,N,13932.71244358,E
1645151919.130207,180222,023835.50,3530.96347188,N,13932.71243798,E
1645151919.2301834,180222,023835.60,3530.96347188,N,13932.71243798,E
1645151919.3313313,180222,023835.70,3530.96347090,N,13932.71242838,E
1645151919.4326262,180222,023835.80,3530.96347090,N,13932.71242838,E
1645151919.5326235,180222,023835.90,3530.96347697,N,13932.71242999,E
